2026-05-18 16:00:54 | SERVER     | ready                | port=8000  stt_model=whisper-large-v3-turbo  llm_model=llama-3.3-70b-versatile
2026-05-18 16:23:55 | WS         | text_input_received  | text=hello
2026-05-18 16:23:55 | LLM        | turn_start           | session=6a237c2b  query=hello  history_turns=2
2026-05-18 16:23:55 | STATE      | listening → thinking | session=6a237c2b
2026-05-18 16:23:55 | LLM        | call1_intent_classified | session=6a237c2b  intent=general  language=unknown  confidence=0.5  ttft_ms=265
2026-05-18 16:23:55 | LLM        | routed               | session=6a237c2b  route_type=general  has_direct_response=False  has_context=False
2026-05-18 16:23:55 | LLM        | call2_first_token    | session=6a237c2b  ttft_ms=468
2026-05-18 16:23:55 | LLM        | turn_complete        | session=6a237c2b  response_preview="I'm having trouble connecting right now. Please try again in"
2026-05-18 16:23:55 | TTS        | first_sentence_synthesis_start | ttfs_ms=468
2026-05-18 16:23:57 | TTS        | synthesised          | session=6a237c2b  sentence_index=1  sentence="Please try again in a moment."  wav_kb=99  synth_ms=2219
2026-05-18 16:23:58 | TTS        | synthesised          | session=6a237c2b  sentence_index=0  sentence="I'm having trouble connecting right now."  wav_kb=126  synth_ms=2750
2026-05-18 16:23:58 | TTS        | first_wav_enqueued   | tts_enqueue_ms=3218
2026-05-18 16:23:58 | AUDIO_OUT  | first_audio_chunk    | session=6a237c2b  ttfa_ms=3218
2026-05-18 16:23:58 | STATE      | thinking → speaking  | session=6a237c2b
2026-05-18 16:23:59 | WS         | text_input_received  | text=hel
2026-05-18 16:23:59 | WS         | text_input_barge_in  | session=6a237c2b  text=hel
2026-05-18 16:23:59 | LLM        | turn_start           | session=6a237c2b  query=hel  history_turns=3
2026-05-18 16:23:59 | STATE      | speaking → thinking  | session=6a237c2b
2026-05-18 16:23:59 | AUDIO_OUT  | interrupt_clear      | session=6a237c2b
2026-05-18 16:23:59 | STATE      | thinking → listening | session=6a237c2b
2026-05-18 16:23:59 | LLM        | call1_intent_classified | session=6a237c2b  intent=general  language=unknown  confidence=0.5  ttft_ms=109
2026-05-18 16:23:59 | LLM        | routed               | session=6a237c2b  route_type=general  has_direct_response=False  has_context=False
2026-05-18 16:24:00 | LLM        | call2_first_token    | session=6a237c2b  ttft_ms=359
2026-05-18 16:24:00 | LLM        | turn_complete        | session=6a237c2b  response_preview="I'm having trouble connecting right now. Please try again in"
2026-05-18 16:24:00 | TTS        | first_sentence_synthesis_start | ttfs_ms=359
2026-05-18 16:24:02 | TTS        | synthesised          | session=6a237c2b  sentence_index=1  sentence="Please try again in a moment."  wav_kb=99  synth_ms=2702
2026-05-18 16:24:03 | TTS        | synthesised          | session=6a237c2b  sentence_index=0  sentence="I'm having trouble connecting right now."  wav_kb=126  synth_ms=2890
2026-05-18 16:24:03 | TTS        | first_wav_enqueued   | tts_enqueue_ms=3250
2026-05-18 16:24:03 | AUDIO_OUT  | first_audio_chunk    | session=6a237c2b  ttfa_ms=3250
2026-05-18 16:24:03 | STATE      | listening → speaking | session=6a237c2b
2026-05-18 16:24:08 | AUDIO_OUT  | playback_complete    | session=6a237c2b  audio_duration_ms=4825  waited_ms=5125
2026-05-18 16:24:08 | STATE      | speaking → listening | session=6a237c2b
2026-05-18 16:25:17 | STT        | audio_dropped_robo_idle | session=6a237c2b
2026-05-18 16:26:33 | AUDIO_IN   | client_disconnected  | session=6a237c2b
2026-05-18 16:26:33 | AUDIO_IN   | shutting_down_pipeline | session=6a237c2b
2026-05-18 16:26:33 | SESSION    | stopped              | session=6a237c2b
2026-05-18 16:26:33 | ────────────────────────────────────────────────────────────────────────
2026-05-18 16:26:33 | SESSION    | stopped              | session=6a237c2b
2026-05-18 16:26:33 | ────────────────────────────────────────────────────────────────────────
2026-05-18 16:26:33 | SERVER     | shutdown             | active_sessions=0
2026-05-18 16:26:51 | SERVER     | ready                | port=8000  stt_model=whisper-large-v3-turbo  llm_model=llama-3.3-70b-versatile
2026-05-18 16:26:54 | WS         | audio_client_connected | session=d4fa5931
2026-05-18 16:26:54 | ─────────────────────────── SESSION d4fa5931 ───────────────────────────
2026-05-18 16:26:54 | SESSION    | started              | session=d4fa5931
2026-05-18 16:27:07 | WS         | text_input_received  | text=Hello
2026-05-18 16:27:07 | LLM        | turn_start           | session=d4fa5931  query=Hello  history_turns=0
2026-05-18 16:27:07 | STATE      | listening → thinking | session=d4fa5931
2026-05-18 16:27:07 | LLM        | call1_intent_classified | session=d4fa5931  intent=general  language=en  confidence=0.8  ttft_ms=625
2026-05-18 16:27:07 | LLM        | routed               | session=d4fa5931  route_type=general  has_direct_response=False  has_context=False
2026-05-18 16:27:07 | LLM        | call2_first_token    | session=d4fa5931  ttft_ms=938
2026-05-18 16:27:07 | LLM        | turn_complete        | session=d4fa5931  response_preview="Hello, how can I help you today?"
2026-05-18 16:27:07 | TTS        | first_sentence_synthesis_start | ttfs_ms=938
2026-05-18 16:27:12 | TTS        | synthesised          | session=d4fa5931  sentence_index=0  sentence="Hello, how can I help you today?"  wav_kb=109  synth_ms=4671
2026-05-18 16:27:12 | TTS        | first_wav_enqueued   | tts_enqueue_ms=5609
2026-05-18 16:27:12 | AUDIO_OUT  | first_audio_chunk    | session=d4fa5931  ttfa_ms=5609
2026-05-18 16:27:12 | STATE      | thinking → speaking  | session=d4fa5931
2026-05-18 16:27:15 | AUDIO_OUT  | playback_complete    | session=d4fa5931  audio_duration_ms=2325  waited_ms=2702
2026-05-18 16:27:15 | STATE      | speaking → listening | session=d4fa5931
2026-05-18 16:27:25 | WS         | text_input_received  | text="Can you tell me a short story?"
2026-05-18 16:27:25 | LLM        | turn_start           | session=d4fa5931  query="Can you tell me a short story?"  history_turns=1
2026-05-18 16:27:25 | STATE      | listening → thinking | session=d4fa5931
2026-05-18 16:27:25 | LLM        | call1_intent_classified | session=d4fa5931  intent=general  language=en  confidence=0.9  ttft_ms=405
2026-05-18 16:27:25 | LLM        | routed               | session=d4fa5931  route_type=general  has_direct_response=False  has_context=False
2026-05-18 16:27:25 | LLM        | call2_first_token    | session=d4fa5931  ttft_ms=827
2026-05-18 16:27:26 | TTS        | first_sentence_synthesis_start | ttfs_ms=1859
2026-05-18 16:27:27 | LLM        | turn_complete        | session=d4fa5931  response_preview="I'd be happy to tell you a story. Once upon a time, in a sma"
2026-05-18 16:27:29 | TTS        | synthesised          | session=d4fa5931  sentence_index=0  sentence="I'd be happy to tell you a story."  wav_kb=110  synth_ms=2171
2026-05-18 16:27:29 | TTS        | first_wav_enqueued   | tts_enqueue_ms=4030
2026-05-18 16:27:29 | AUDIO_OUT  | first_audio_chunk    | session=d4fa5931  ttfa_ms=4030
2026-05-18 16:27:29 | STATE      | thinking → speaking  | session=d4fa5931
2026-05-18 16:27:29 | TTS        | synthesised          | session=d4fa5931  sentence_index=1  sentence="Once upon a time,"  wav_kb=85  synth_ms=2264
2026-05-18 16:27:31 | TTS        | synthesised          | session=d4fa5931  sentence_index=2  sentence="in a small village,"  wav_kb=82  synth_ms=1953
2026-05-18 16:27:32 | TTS        | synthesised          | session=d4fa5931  sentence_index=3  sentence="there was a little rabbit who loved to explore and go on adv"  wav_kb=196  synth_ms=3641
2026-05-18 16:27:34 | TTS        | synthesised          | session=d4fa5931  sentence_index=4  sentence="Would you like to hear more about what the rabbit did?"  wav_kb=150  synth_ms=3202
2026-05-18 16:27:36 | WS         | text_input_received  | text=hello
2026-05-18 16:27:36 | WS         | text_input_barge_in  | session=d4fa5931  text=hello
2026-05-18 16:27:36 | LLM        | turn_start           | session=d4fa5931  query=hello  history_turns=2
2026-05-18 16:27:36 | STATE      | speaking → thinking  | session=d4fa5931
2026-05-18 16:27:36 | AUDIO_OUT  | interrupt_clear      | session=d4fa5931
2026-05-18 16:27:36 | STATE      | thinking → listening | session=d4fa5931
2026-05-18 16:27:36 | LLM        | call1_intent_classified | session=d4fa5931  intent=general  language=en  confidence=0.9  ttft_ms=422
2026-05-18 16:27:36 | LLM        | routed               | session=d4fa5931  route_type=general  has_direct_response=False  has_context=False
2026-05-18 16:27:36 | LLM        | call2_first_token    | session=d4fa5931  ttft_ms=813
2026-05-18 16:27:37 | TTS        | first_sentence_synthesis_start | ttfs_ms=844
2026-05-18 16:27:37 | LLM        | turn_complete        | session=d4fa5931  response_preview="We already said hello, didn't we? You asked me to tell you a"
2026-05-18 16:27:39 | TTS        | synthesised          | session=d4fa5931  sentence_index=0  sentence="We already said hello, didn't we?"  wav_kb=109  synth_ms=2577
2026-05-18 16:27:39 | TTS        | first_wav_enqueued   | tts_enqueue_ms=3422
2026-05-18 16:27:39 | AUDIO_OUT  | first_audio_chunk    | session=d4fa5931  ttfa_ms=3422
2026-05-18 16:27:39 | STATE      | listening → speaking | session=d4fa5931
2026-05-18 16:27:39 | TTS        | synthesised          | session=d4fa5931  sentence_index=1  sentence="You asked me to tell you a story,"  wav_kb=106  synth_ms=2734
2026-05-18 16:27:44 | TTS        | synthesised          | session=d4fa5931  sentence_index=2  sentence="and I started telling you about a little rabbit would you li"  wav_kb=233  synth_ms=4797
2026-05-18 16:27:54 | AUDIO_OUT  | playback_complete    | session=d4fa5931  audio_duration_ms=9575  waited_ms=9968
2026-05-18 16:27:54 | STATE      | speaking → listening | session=d4fa5931
2026-05-18 16:27:59 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:29:15 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:30:17 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:31:22 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:32:51 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:34:12 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:35:17 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:36:32 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:37:34 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:38:43 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:40:33 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:41:34 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:42:35 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:43:39 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:44:40 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:45:43 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:47:41 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:48:43 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:49:54 | STT        | audio_dropped_robo_idle | session=d4fa5931
2026-05-18 16:50:42 | AUDIO_IN   | client_disconnected  | session=d4fa5931
2026-05-18 16:50:42 | AUDIO_IN   | shutting_down_pipeline | session=d4fa5931
2026-05-18 16:50:42 | SESSION    | stopped              | session=d4fa5931
2026-05-18 16:50:42 | ────────────────────────────────────────────────────────────────────────
2026-05-18 16:50:42 | SESSION    | stopped              | session=d4fa5931
2026-05-18 16:50:42 | ────────────────────────────────────────────────────────────────────────
2026-05-18 16:50:42 | SERVER     | shutdown             | active_sessions=0
2026-05-18 16:51:25 | SERVER     | ready                | port=8000  stt_model=whisper-large-v3-turbo  llm_model=llama-3.3-70b-versatile
2026-05-18 16:51:25 | WS         | audio_client_connected | session=c02b4546
2026-05-18 16:51:25 | ─────────────────────────── SESSION c02b4546 ───────────────────────────
2026-05-18 16:51:25 | SESSION    | started              | session=c02b4546
2026-05-18 16:51:43 | STT        | audio_dropped_robo_idle | session=c02b4546
2026-05-18 16:53:28 | WS         | text_input_received  | text=Hello.
2026-05-18 16:53:28 | LLM        | turn_start           | session=c02b4546  query=Hello.  history_turns=0
2026-05-18 16:53:28 | STATE      | listening → thinking | session=c02b4546
2026-05-18 16:53:29 | LLM        | call1_intent_classified | session=c02b4546  intent=general  language=en  confidence=0.9  ttft_ms=422
2026-05-18 16:53:29 | LLM        | routed               | session=c02b4546  route_type=general  has_direct_response=False  has_context=False
2026-05-18 16:53:29 | LLM        | call2_first_token    | session=c02b4546  ttft_ms=859
2026-05-18 16:53:29 | LLM        | turn_complete        | session=c02b4546  response_preview="Hello, how can I help you today?"
2026-05-18 16:53:29 | TTS        | first_sentence_synthesis_start | ttfs_ms=875
2026-05-18 16:53:33 | TTS        | synthesised          | session=c02b4546  sentence_index=0  sentence="Hello, how can I help you today?"  wav_kb=109  synth_ms=4297
2026-05-18 16:53:33 | TTS        | first_wav_enqueued   | tts_enqueue_ms=5172
2026-05-18 16:53:33 | AUDIO_OUT  | first_audio_chunk    | session=c02b4546  ttfa_ms=5187
2026-05-18 16:53:33 | STATE      | thinking → speaking  | session=c02b4546
2026-05-18 16:53:36 | AUDIO_OUT  | playback_complete    | session=c02b4546  audio_duration_ms=2325  waited_ms=2640
2026-05-18 16:53:36 | STATE      | speaking → listening | session=c02b4546
2026-05-18 16:53:44 | WS         | text_input_received  | text="Can you tell me the weather of Kathmandu right now?"
2026-05-18 16:53:44 | LLM        | turn_start           | session=c02b4546  query="Can you tell me the weather of Kathmandu right now?"  history_turns=1
2026-05-18 16:53:44 | STATE      | listening → thinking | session=c02b4546
2026-05-18 16:53:45 | LLM        | call1_intent_classified | session=c02b4546  intent=web_search  language=en  confidence=0.9  ttft_ms=1000
2026-05-18 16:53:48 | LLM        | routed               | session=c02b4546  route_type=web_search  has_direct_response=False  has_context=True
2026-05-18 16:53:48 | LLM        | call2_first_token    | session=c02b4546  ttft_ms=3796
2026-05-18 16:53:48 | TTS        | first_sentence_synthesis_start | ttfs_ms=3842
2026-05-18 16:53:48 | LLM        | turn_complete        | session=c02b4546  response_preview="In Kathmandu right now, it's partly cloudy with a temperatur"
2026-05-18 16:53:50 | TTS        | synthesised          | session=c02b4546  sentence_index=0  sentence="In Kathmandu right now,"  wav_kb=93  synth_ms=2454
2026-05-18 16:53:50 | TTS        | first_wav_enqueued   | tts_enqueue_ms=6296
2026-05-18 16:53:50 | AUDIO_OUT  | first_audio_chunk    | session=c02b4546  ttfa_ms=6296
2026-05-18 16:53:50 | STATE      | thinking → speaking  | session=c02b4546
2026-05-18 16:53:52 | TTS        | synthesised          | session=c02b4546  sentence_index=1  sentence="it's partly cloudy with a temperature of around 28 degrees C"  wav_kb=207  synth_ms=4171
2026-05-18 16:53:53 | TTS        | synthesised          | session=c02b4546  sentence_index=2  sentence="or 83 degrees Fahrenheit."  wav_kb=113  synth_ms=2609
2026-05-18 16:53:56 | TTS        | synthesised          | session=c02b4546  sentence_index=3  sentence="Would you like to know more about the current weather condit"  wav_kb=213  synth_ms=3594
2026-05-18 16:53:58 | AUDIO_IN   | interrupt_received   | session=c02b4546  via=text
2026-05-18 16:53:58 | AUDIO_OUT  | interrupt_clear      | session=c02b4546
2026-05-18 16:53:58 | STATE      | speaking → listening | session=c02b4546
2026-05-18 16:54:24 | WS         | text_input_received  | text="are you sure?"
2026-05-18 16:54:24 | LLM        | turn_start           | session=c02b4546  query="are you sure?"  history_turns=2
2026-05-18 16:54:24 | STATE      | listening → thinking | session=c02b4546
2026-05-18 16:54:24 | LLM        | call1_intent_classified | session=c02b4546  intent=general  language=en  confidence=0.8  ttft_ms=655
2026-05-18 16:54:24 | LLM        | routed               | session=c02b4546  route_type=general  has_direct_response=False  has_context=False
2026-05-18 16:54:25 | LLM        | call2_first_token    | session=c02b4546  ttft_ms=937
2026-05-18 16:54:25 | TTS        | first_sentence_synthesis_start | ttfs_ms=968
2026-05-18 16:54:25 | LLM        | turn_complete        | session=c02b4546  response_preview="I don't have realtime access to the current weather in Kathm"
2026-05-18 16:54:29 | TTS        | synthesised          | session=c02b4546  sentence_index=0  sentence="I don't have realtime access to the current weather in Kathm"  wav_kb=193  synth_ms=4062
2026-05-18 16:54:29 | TTS        | first_wav_enqueued   | tts_enqueue_ms=5030
2026-05-18 16:54:29 | AUDIO_OUT  | first_audio_chunk    | session=c02b4546  ttfa_ms=5030
2026-05-18 16:54:29 | STATE      | thinking → speaking  | session=c02b4546
2026-05-18 16:54:29 | TTS        | synthesised          | session=c02b4546  sentence_index=1  sentence="I can suggest checking a weather website or app for the most"  wav_kb=250  synth_ms=4389
2026-05-18 16:54:29 | TTS        | synthesised          | session=c02b4546  sentence_index=2  sentence=though.  wav_kb=56  synth_ms=625
2026-05-18 16:54:40 | AUDIO_OUT  | playback_complete    | session=c02b4546  audio_duration_ms=10675  waited_ms=11014
2026-05-18 16:54:40 | STATE      | speaking → listening | session=c02b4546
2026-05-18 16:55:26 | STT        | audio_dropped_robo_idle | session=c02b4546
2026-05-18 16:55:56 | AUDIO_IN   | client_disconnected  | session=c02b4546
2026-05-18 16:55:56 | AUDIO_IN   | shutting_down_pipeline | session=c02b4546
2026-05-18 16:55:56 | SESSION    | stopped              | session=c02b4546
2026-05-18 16:55:56 | ────────────────────────────────────────────────────────────────────────
2026-05-18 16:55:56 | SESSION    | stopped              | session=c02b4546
2026-05-18 16:55:56 | ────────────────────────────────────────────────────────────────────────
2026-05-18 16:55:56 | SERVER     | shutdown             | active_sessions=0
2026-05-18 16:57:28 | SERVER     | ready                | port=8000  stt_model=whisper-large-v3-turbo  llm_model=llama-3.3-70b-versatile
2026-05-18 16:57:31 | WS         | audio_client_connected | session=a7de1e7c
2026-05-18 16:57:31 | ─────────────────────────── SESSION a7de1e7c ───────────────────────────
2026-05-18 16:57:31 | SESSION    | started              | session=a7de1e7c
2026-05-18 16:58:02 | WS         | text_input_received  | text=Hello
2026-05-18 16:58:02 | LLM        | turn_start           | session=a7de1e7c  query=Hello  history_turns=0
